Index,herb,target
273,332,1135
274,1429,3826
275,330,4031
276,682,3084
277,32,2217
278,1268,4069
279,1475,5055
280,1346,4514
281,441,2565
282,191,3417
283,1017,4947
284,251,1249
285,1150,4146
286,1023,2101
287,38,4601
288,1259,4225
289,75,137
290,873,1929
291,942,2159
292,209,162
293,142,2063
294,879,2326
295,170,390
296,1133,3595
297,117,3810
298,592,3281
299,774,2864
300,1480,2858
301,710,3377
302,1034,356
303,153,1898
304,578,2388
305,556,3237
306,616,3897
307,250,3580
308,1005,1883
309,308,4201
310,491,1204
311,97,32
312,759,5063
313,159,4151
314,587,120
315,633,2892
316,223,2393
317,1107,372
318,197,3275
319,189,2322
320,1421,4027
321,1391,4247
322,1239,2898
323,601,2404
324,965,3357
325,885,2501
326,1379,2476
327,696,602
328,142,3710
329,274,4171
330,1219,3796
331,468,2590
332,1198,4674
333,1030,3147
334,200,3825
335,43,1548
336,1359,2346
337,816,973
338,1491,3361
339,72,866
340,777,2073
341,1312,5058
342,989,1556
343,814,3720
344,1022,3131
345,1225,3120
346,943,1876
347,520,4295
348,363,4600
349,69,2098
350,806,5088
351,174,2255
352,589,4472
353,1280,4794
354,1060,2348
355,764,1957
356,632,5193
357,104,4823
358,812,982
359,1427,2830
360,1297,1393
361,1429,4022
362,86,401
363,1094,605
364,1118,3192
365,131,516
366,991,4480
367,1433,722
368,1464,1559
369,1131,2117
370,702,978
371,166,4977
372,694,5093
373,627,1627
374,960,1172
375,66,3047
376,419,3658
377,189,532
378,51,168
379,810,3957
380,634,1095
381,1227,1411
382,73,4285
383,1269,4633
384,1173,2732
385,573,2894
386,161,4126
387,598,1073
388,1391,300
389,957,2989
390,805,3378
391,1115,5193
392,856,1901
393,384,1498
394,919,4924
395,860,1054
396,972,740
397,40,3179
398,281,2909
399,377,4953
400,484,5064
401,293,169
402,748,3629
403,421,3004
404,1242,3818
405,1133,3604
406,400,2763
407,722,595
408,282,4272
409,402,709
410,716,2994
411,1193,3917
412,1345,4697
413,123,886
414,50,430
415,229,785
416,561,761
417,552,5052
418,154,3770
419,894,1239
420,1444,610
421,1146,4260
422,216,947
423,87,4361
424,456,4973
425,1384,312
426,422,4008
427,911,24
428,335,5169
429,1228,4473
430,1455,3702
431,693,5173
432,1239,4183
433,470,4372
434,81,782
435,1302,4997
436,1021,4247
437,1197,3342
438,509,2415
439,175,774
440,583,454
441,144,3328
442,965,4877
443,903,5118
444,1025,853
445,1105,3735
446,738,3217
447,333,922
448,1040,145
449,277,4593
450,1065,2342
451,1243,3533
452,92,4485
453,853,4103
454,1192,4933
455,1401,2855
456,112,166
457,223,4555
458,91,4808
459,301,2104
460,857,2038
461,951,1061
462,763,3099
463,1034,3192
464,488,5180
465,134,1621
466,266,806
467,211,4263
468,1272,4214
469,495,4895
470,1027,43
471,908,3295
472,894,3669
473,914,3506
474,904,3796
475,1315,4324
476,1179,2085
477,1357,90
478,334,4533
479,1016,2421
480,321,1719
481,955,1092
482,422,755
483,863,4864
484,830,2170
485,438,4553
486,1291,3282
487,1154,2722
488,1383,4511
489,1066,3793
490,1101,4184
491,1423,632
492,1246,2340
493,675,2182
494,101,77
495,830,3672
496,35,222
497,503,738
498,439,1028
499,1283,80
500,1206,893
501,110,4939
502,394,4188
503,1128,2348
504,546,2718
505,1362,2935
506,14,1834
507,254,2351
508,497,3048
509,979,2218
510,1398,932
511,850,918
512,577,1342
513,757,2975
514,119,1628
515,293,3787
516,629,1637
517,830,583
518,902,1706
519,232,1169
520,1302,1
521,311,3005
522,311,3283
523,440,2759
524,215,298
525,275,1954
526,1327,1883
527,1168,3031
528,756,4496
529,1233,291
530,1110,2855
531,171,2398
532,1143,911
533,944,1486
534,510,4237
535,1115,4412
536,459,3191
537,156,795
538,999,1922
539,1244,2284
540,173,2479
541,187,2021
542,885,4617
543,216,4383
544,1286,360
545,1403,365
546,772,5162
547,1125,3335
548,187,1126
549,538,4319
550,779,1575
551,1167,2921
552,1309,4607
553,16,4355
554,181,89
555,1047,2961
556,1381,537
557,293,2105
558,80,3757
559,884,663
560,1491,4506
561,1256,2302
562,178,339
563,93,4891
564,1215,4568
565,471,1551
566,1383,2904
567,635,65
568,1224,453
569,745,2279
570,192,1640
571,475,367
572,1086,2856
573,40,2738
574,853,3552
575,29,4846
576,521,5149
577,804,786
578,1271,1090
579,246,4532
580,909,3902
581,372,3721
582,941,2208
583,1141,103
584,1204,3684
585,96,5121
586,57,388
587,888,946
588,1004,2220
589,1070,1173
590,1291,3779
591,467,3951
592,32,4094
593,1288,2510
594,324,1726
595,1208,1032
596,1053,154
597,143,3673
598,1311,2130
599,807,585
600,135,5066
601,714,3191
602,139,606
603,1445,2764
604,812,4881
605,731,859
606,753,1016
607,16,212
608,1099,543
609,6,2246
610,1396,1076
611,1278,1117
612,628,3204
613,1408,4405
614,867,3364
615,535,4506
616,338,3937
617,622,2433
618,52,1399
619,839,4085
620,718,5038
621,916,5002
622,1453,4130
623,851,1858
624,121,4445
625,170,1838
626,846,2605
627,1081,2966
628,646,4011
629,695,657
630,683,1874
631,69,2051
632,216,1818
633,365,4326
634,321,1631
635,461,2572
636,576,2982
637,1280,4512
638,220,587
639,1238,1738
640,249,5215
641,81,3115
642,126,4206
643,1258,3467
644,663,3040
645,844,3786
646,345,85
647,1393,223
648,400,2759
649,946,3968
650,216,1103
651,356,651
652,1482,4437
653,1062,3395
654,665,4719
655,1212,2741
656,1092,1032
657,144,4431
658,1032,5037
659,1468,2513
660,465,120
661,674,285
662,407,624
663,1114,2523
664,1335,1014
665,889,1218
666,363,2690
667,759,5135
668,89,3624
669,523,2341
670,1281,3608
671,1446,3433
672,1201,1794
673,808,3967
674,901,2437
675,791,958
676,338,1041
677,325,1711
678,1379,5129
679,396,462
680,467,4060
681,211,2094
682,302,3980
683,666,2502
684,1312,2149
685,845,1212
686,803,3511
687,302,3051
688,1013,2698
689,1202,4500
690,1224,4726
691,1161,95
692,798,3668
693,1064,2362
694,733,2548
695,348,77
696,1384,1169
697,1455,3658
698,509,1422
699,700,2964
700,1117,2257
701,1398,4185
702,287,4560
703,697,4875
704,850,1469
705,1208,1811
706,1181,570
707,1448,939
708,1124,2130
709,245,4019
710,521,4809
711,259,1040
712,199,2123
713,198,1604
714,7,4158
715,250,2756
716,308,2910
717,1015,2775
718,465,4153
719,968,681
720,441,2387
721,1082,2524
722,1008,2887
723,864,3998
724,541,4485
725,728,1459
726,124,4900
727,683,4944
728,824,4861
729,791,2398
730,1269,2817
731,236,1378
732,1164,3369
733,504,3766
734,1469,2308
735,1008,5005
736,33,420
737,155,3882
738,593,1881
739,321,1200
740,1241,3436
741,1131,4492
742,1321,3734
743,765,2712
744,1029,4357
745,1164,3249
746,1274,4297
747,1466,948
748,1391,1570
749,1145,1712
750,1135,14
751,971,3364
752,1292,4362
753,42,3110
754,892,2097
755,532,5179
756,232,4007
757,1036,788
758,639,3313
759,347,590
760,494,4156
761,358,1122
762,472,4324
763,1458,1666
764,583,925
765,589,831
766,729,4065
767,1092,3689
768,1286,1969
769,532,2192
770,259,2452
771,1003,1963
772,213,3718
773,77,630
774,256,392
775,645,198
776,1235,3186
777,1289,2402
778,760,23
779,193,3006
780,543,3848
781,97,2903
782,627,2304
783,214,2257
784,449,4675
785,595,3567
786,1170,844
787,620,4961
788,434,3283
789,112,2294
790,39,4941
791,1035,1025
792,1002,3466
793,1261,2025
794,1084,40
795,39,3878
796,641,3930
797,270,2299
798,763,3968
799,67,1567
800,1241,3920
801,608,120
802,673,1055
803,225,4938
804,227,4382
805,1259,2007
806,816,2249
807,441,3481
808,35,1331
809,295,3352
810,956,3718
811,786,1587
812,186,4683
813,920,1107
814,717,2371
815,193,2025
816,99,143
817,1230,4680
818,1226,3630
819,616,3038
820,1281,377
821,4,2731
822,1466,1307
823,113,397
824,1331,2889
825,1367,1126
826,380,1436
827,481,2002
828,624,757
829,126,63
830,658,4757
831,879,337
832,556,5104
833,1330,3800
834,1049,398
835,363,2180
836,1470,3571
837,1139,3722
838,237,3308
839,1469,2560
840,1047,1860
841,117,2302
842,67,1316
843,849,3997
844,1148,3695
845,127,1178
846,261,2406
847,442,3771
848,728,1947
849,789,654
850,522,1014
851,565,4965
852,784,5012
853,1188,4087
854,981,201
855,108,3308
856,352,3632
857,19,1926
858,877,3354
859,135,1712
860,195,5178
861,1227,2677
862,277,1200
863,47,388
864,1179,1394
865,238,1967
866,992,4158
867,437,310
868,991,4572
869,1409,1451
870,1279,2770
871,649,3591
872,115,5099
873,1494,3452
874,112,3578
875,1306,2248
876,502,1305
877,843,4166
878,1061,474
879,109,15
880,683,3254
881,28,4231
882,1058,2295
883,1144,2978
884,326,96
885,635,2926
886,127,879
887,253,2062
888,1201,1098
889,293,797
890,91,2629
891,776,2910
892,1440,3133
893,940,4115
894,270,4124
895,351,690
896,1156,3511
897,867,1176
898,769,3151
899,141,5127
900,446,915
901,976,2033
902,693,2447
903,883,3853
904,1225,1393
905,55,4097
906,346,1007
907,875,4655
908,52,3994
909,475,1477
910,240,3482
911,1128,985
912,499,2750
913,817,4521
914,840,1413
915,631,1441
916,1130,1071
917,433,1164
918,1494,3819
919,486,4654
920,635,914
921,1108,3223
922,1489,3429
923,445,2780
924,67,556
925,1229,1518
926,855,2326
927,202,5053
928,427,2793
929,758,2574
930,505,2088
931,858,1233
932,1082,2055
933,1323,2516
934,578,1996
935,1455,5060
936,329,4684
937,44,728
938,45,3190
939,651,4677
940,967,2730
941,32,4006
942,1172,4236
943,353,4462
944,1190,1765
945,770,1307
946,828,275
947,980,3821
948,1042,4759
949,878,935
950,435,1885
951,583,1126
952,939,3462
953,451,3193
954,749,5081
955,298,232
956,260,5101
957,1324,863
958,471,1687
959,1287,4311
960,1301,643
961,634,3732
962,1437,845
963,1077,2986
964,202,3352
965,929,1203
966,1134,3636
967,1063,4546
968,96,5070
969,275,5132
970,799,2272
971,627,5157
972,902,1083
973,208,3060
974,204,4422
975,1075,3772
976,156,938
977,1218,964
978,996,2719
979,735,593
980,307,1949
981,1058,4014
982,553,1695
983,249,1291
984,781,3078
985,1187,492
986,390,3427
987,996,4570
988,632,3391
989,774,2212
990,1460,4751
991,13,4751
992,120,868
993,358,3085
994,167,3794
995,936,3847
996,70,1868
997,1401,1120
998,226,3046
999,1218,1695
1000,1168,3605
1001,57,1797
1002,311,1624
1003,1168,2417
1004,1335,3247
1005,28,1781
1006,760,4045
1007,282,4425
1008,588,3439
1009,819,2599
1010,1088,3690
1011,1293,4388
1012,1301,3043
1013,1199,3860
1014,611,3923
1015,1376,3015
1016,326,5140
1017,1204,1310
1018,1328,3498
1019,136,4829
1020,1306,4786
1021,575,3243
1022,793,1727
1023,124,1893
1024,495,1202
1025,484,1735
1026,549,1697
1027,1417,4198
1028,1122,1921
1029,615,2751
1030,292,1418
1031,1212,3805
1032,79,109
1033,549,1871
1034,408,4548
1035,326,3952
1036,196,535
1037,1203,2942
1038,733,1225
1039,578,996
1040,111,3431
1041,1277,2466
1042,394,3432
1043,1039,4587
1044,684,2431
1045,1385,2313
1046,645,5124
1047,1363,2858
1048,510,4885
1049,522,316
1050,779,4321
1051,955,3051
1052,124,2049
1053,906,1023
1054,356,5209
1055,379,217
1056,777,3722
1057,903,4189
1058,38,4524
1059,196,4021
1060,771,3423
1061,303,2420
1062,360,2807
1063,673,5169
1064,1343,34
1065,602,4030
1066,117,3475
1067,1098,3936
1068,618,131
1069,531,2127
1070,1413,4359
1071,661,3637
1072,619,841
1073,1282,2659
1074,835,2619
1075,342,2773
1076,280,2152
1077,54,1481
1078,147,2789
1079,1359,4020
1080,1129,4505
1081,474,2437
1082,76,4706
1083,1463,3673
1084,54,1611
1085,1452,3225
1086,1211,3754
1087,1311,2561
1088,102,3012
1089,1355,836
1090,372,4710
1091,69,4999
1092,48,2231
1093,1438,4389
1094,732,414
1095,500,1262
1096,734,68
1097,1296,4366
1098,653,2821
1099,942,3189
1100,258,4292
1101,1135,2766
1102,1314,1812
1103,503,3398
1104,1471,261
1105,784,1950
1106,1317,2393
1107,1027,2792
1108,946,2581
1109,778,956
1110,629,2393
1111,773,4336
1112,421,1103
1113,988,4162
1114,389,3670
1115,1455,2714
1116,971,522
1117,660,609
1118,1232,3172
1119,404,4058
1120,968,2016
1121,1489,1329
1122,289,826
1123,1196,2728
1124,463,4115
1125,895,2691
1126,1232,3308
1127,1289,2802
1128,507,3747
1129,57,4299
1130,92,4209
1131,867,2214
1132,298,5208
1133,68,799
1134,1130,393
1135,100,2449
1136,292,1554
1137,836,2898
1138,30,1532
1139,705,3869
1140,1463,3269
1141,756,2742
1142,595,1085
1143,607,4426
1144,12,4883
1145,1363,650
1146,334,3340
1147,650,212
1148,265,4131
1149,1437,118
1150,1251,1794
1151,457,2754
1152,585,3723
1153,914,4506
1154,380,3779
1155,1349,3162
1156,1147,524
1157,1245,3790
1158,3,4366
1159,91,714
1160,935,136
1161,733,4882
1162,7,1533
1163,662,3129
1164,426,1665
1165,65,1051
1166,317,480
1167,971,5001
1168,532,3120
1169,383,3659
1170,36,3691
1171,233,3012
1172,725,5039
1173,1317,352
1174,198,5158
1175,985,3440
1176,1420,4433
1177,1139,2056
1178,562,1874
1179,176,1833
1180,1230,4160
1181,614,4036
1182,588,2581
1183,605,3166
1184,652,901
1185,946,3559
1186,690,4354
1187,43,4449
1188,79,1927
1189,1479,3637
1190,191,623
1191,1474,1420
1192,321,5127
1193,348,3297
1194,854,4272
1195,960,358
1196,111,4207
1197,1044,3622
1198,3,2109
1199,1230,3064
1200,1194,270
1201,542,1375
1202,358,4814
1203,1096,63
1204,716,4834
1205,817,3711
1206,505,3121
1207,305,5142
1208,1077,2146
1209,944,4610
1210,80,1672
1211,1189,2174
1212,875,3973
1213,240,5107
1214,563,3345
1215,1313,1027
1216,370,1682
1217,1101,783
1218,1094,1863
1219,346,3394
1220,1272,4596
1221,847,5122
1222,112,3251
1223,1125,3435
1224,1353,13
1225,1485,3915
1226,218,2908
1227,421,3409
1228,973,324
1229,1398,3646
1230,1364,5097
1231,1407,4136
1232,423,1694
1233,197,3114
1234,157,4712
1235,770,65
1236,1326,4808
1237,74,4249
1238,607,539
1239,818,3972
1240,978,406
1241,1233,3333
1242,18,4607
1243,426,855
1244,1324,2185
1245,655,3229
1246,412,4138
1247,770,3749
1248,1337,4574
1249,1420,4536
1250,356,2939
1251,256,1867
1252,97,168
1253,874,249
1254,697,1869
1255,925,1222
1256,839,2826
1257,493,1292
1258,1066,2292
1259,1422,4016
1260,709,2353
1261,144,915
1262,829,2055
1263,1227,1601
1264,1491,4521
1265,366,462
1266,1027,1471
1267,604,3689
1268,428,2481
1269,1426,4758
1270,176,1341
1271,1364,367
1272,710,4224
1273,739,1002
1274,355,2786
1275,946,4217
1276,738,1248
1277,287,4562
1278,1024,3228
1279,175,2343
1280,301,3015
1281,398,4064
1282,251,2151
1283,1030,2028
1284,1220,2123
1285,903,682
1286,777,4127
1287,1256,2185
1288,1028,4408
1289,1184,167
1290,1434,3419
1291,394,1205
1292,1417,1103
1293,584,3633
1294,43,1347
1295,1072,511
1296,1306,4200
1297,179,1333
1298,974,3596
1299,1373,4314
1300,916,167
1301,534,3872
1302,963,3180
1303,1441,1282
1304,802,3816
1305,490,3740
1306,1147,3925
1307,807,4409
1308,1048,2522
1309,965,4084
1310,228,2966
1311,445,4887
1312,771,3534
1313,1409,3434
1314,1108,2680
1315,21,3399
1316,1483,4270
1317,950,4058
1318,609,3704
1319,387,4468
1320,393,2597
1321,552,5059
1322,153,2479
1323,505,3076
1324,1326,145
1325,421,2201
1326,501,4216
1327,303,2442
1328,1084,4128
1329,940,4971
1330,1434,646
1331,1049,2873
1332,1459,1169
1333,515,4853
1334,316,2112
1335,1066,129
1336,22,2587
1337,748,2355
1338,1271,34
1339,402,1713
1340,1439,5074
1341,311,1644
1342,1106,1399
1343,817,355
1344,50,3867
1345,250,1365
1346,643,3580
1347,212,5116
1348,718,4316
1349,1188,4510
1350,1164,3868
1351,133,4332
1352,658,3390
1353,1074,3344
1354,53,5181
1355,170,3730
1356,1053,958
1357,113,3772
1358,775,2252
1359,870,3690
1360,1091,3980
1361,566,4897
1362,947,1015
1363,636,4904
1364,1302,3970
1365,900,2545
1366,239,4878
1367,761,4143
1368,466,4694
1369,475,4520
1370,471,3486
1371,294,1247
1372,478,2761
1373,134,3612
1374,1451,3721
1375,295,3102
1376,1135,1726
1377,1226,3863
1378,1247,88
1379,139,1567
1380,286,2962
1381,1313,3328
1382,358,2978
1383,54,3070
1384,1218,3410
1385,1417,2219
1386,390,4819
1387,1455,328
1388,1205,4850
1389,1318,3112
1390,1416,2457
1391,442,470
1392,762,4699
1393,322,5072
1394,1221,2318
1395,629,5187
1396,1091,4009
1397,417,3721
1398,140,3174
1399,241,2275
1400,767,4711
1401,166,1396
1402,1001,4898
1403,1416,2759
1404,749,1502
1405,224,4175
1406,529,3379
1407,1275,4153
1408,334,4116
1409,11,3099
1410,530,2665
1411,1335,748
1412,14,3926
1413,284,1455
1414,742,22
1415,1226,1924
1416,194,2313
1417,587,555
1418,632,2140
1419,792,1544
1420,944,5161
1421,388,128
1422,1473,4323
1423,798,601
1424,1111,4709
1425,1040,4696
1426,1169,2028
1427,983,4316
1428,867,1430
1429,1188,4539
1430,1085,972
1431,375,2227
1432,206,3067
1433,514,4938
1434,959,2531
1435,1137,2946
1436,1443,1818
1437,1493,2982
1438,636,4742
1439,1085,5160
1440,610,258
1441,92,2712
1442,131,3171
1443,187,1039
1444,595,4066
1445,1322,2319
1446,770,1621
1447,1186,432
1448,1329,1388
1449,876,3206
1450,196,2997
1451,462,974
1452,885,2043
1453,380,2640
1454,1271,980
1455,802,4536
1456,926,1522
1457,181,2635
1458,48,4719
1459,1217,4831
1460,536,3617
1461,815,3403
1462,807,4528
1463,1405,3799
1464,488,1689
1465,56,2623
1466,896,3938
1467,263,3126
1468,430,5193
1469,179,4292
1470,819,3564
1471,1287,1406
1472,1059,3367
1473,1474,3403
1474,766,2363
1475,498,4587
1476,347,1864
1477,609,1164
1478,1358,818
1479,1354,659
1480,939,3388
1481,545,2807
1482,1007,1765
1483,210,2462
1484,963,3733
1485,1031,2142
1486,902,1414
1487,1164,3605
1488,605,942
1489,386,3873
1490,1227,2372
1491,1357,4130
1492,289,3923
1493,697,261
1494,1296,1232
1495,1346,1825
1496,1406,3064
1497,1304,2839
1498,1193,2793
1499,519,2391
1500,1268,2588
1501,744,1681
1502,736,1017
1503,305,2810
1504,536,1200
1505,914,423
1506,217,2449
1507,1131,249
1508,304,1708
1509,1205,3829
1510,1309,3070
1511,350,342
1512,716,572
1513,53,2977
1514,707,2405
1515,950,2641
1516,1118,2978
1517,881,4231
1518,216,546
1519,1170,2084
1520,1363,2204
1521,1233,1214
1522,466,3018
1523,371,5077
1524,569,3200
1525,1425,3303
1526,366,3425
1527,1126,3444
1528,1066,1883
1529,871,2618
1530,937,264
1531,1107,1591
1532,44,5068
1533,926,819
1534,390,3061
1535,981,1172
1536,315,1158
1537,462,3514
1538,873,2276
1539,722,2236
1540,731,2579
1541,86,3853
1542,625,232
1543,180,4177
1544,1037,4744
1545,1296,2683
1546,438,1011
1547,702,4536
1548,1329,5039
1549,719,1314
1550,976,3192
1551,437,4124
1552,349,3753
1553,847,2952
1554,965,3238
1555,229,1539
1556,1445,2430
1557,377,3326
1558,522,2667
1559,1112,375
1560,624,171
1561,547,3866
1562,431,4716
1563,831,1193
1564,1125,4265
1565,1372,1332
1566,1123,3013
1567,909,2808
1568,769,4103
1569,419,2262
1570,1171,758
1571,495,2582
1572,1096,555
1573,891,4229
1574,380,3694
1575,1400,3753
1576,909,2947
1577,1280,4867
1578,1462,4678
1579,312,4622
1580,1472,3455
1581,946,4070
1582,9,4824
1583,870,2199
1584,1485,4858
1585,54,917
1586,1480,5053
1587,1389,3215
1588,1415,2546
1589,165,2654
1590,768,5209
1591,1314,213
1592,196,2370
1593,102,1154
1594,35,3072
1595,1306,4551
1596,1331,3290
1597,1454,29
1598,737,153
1599,1435,2057
1600,810,295
1601,897,3432
1602,861,2684
1603,789,2026
1604,1465,4640
1605,397,2336
1606,524,4713
1607,390,1676
1608,980,586
1609,806,4681
1610,320,3843
1611,108,2728
1612,223,4985
1613,983,5095
1614,1036,3541
1615,204,4194
1616,708,2008
1617,464,895
1618,1218,3941
1619,132,2269
1620,1159,745
1621,612,3148
1622,1357,283
1623,432,3023
1624,924,754
1625,191,1353
1626,1176,3244
1627,53,3491
1628,725,3058
1629,343,3476
1630,313,3229
1631,642,3793
1632,3,888
1633,708,418
1634,1342,4254
1635,658,4131
1636,231,2374
1637,1376,2640
1638,1381,5143
1639,1179,3416
1640,686,4089
1641,821,3153
1642,578,138
1643,861,2425
1644,713,1734
1645,550,3077
1646,563,2669
1647,1157,4973
1648,319,3455
1649,1243,4926
1650,253,2005
1651,957,1408
1652,212,2887
1653,720,960
1654,219,4901
1655,1209,2753
1656,114,2754
1657,1430,2744
1658,701,1221
1659,501,2006
1660,1422,1825
1661,685,1807
1662,1277,1187
1663,644,2828
1664,1199,509
1665,1435,2535
1666,1158,897
1667,707,2862
1668,1445,2476
1669,157,2338
1670,869,986
1671,933,4539
1672,1454,1335
1673,916,922
1674,31,4662
1675,823,2504
1676,294,3720
1677,756,1753
1678,443,3900
1679,24,2879
1680,46,3770
1681,129,4952
1682,739,3478
1683,996,3598
1684,764,4486
1685,92,95
1686,898,4191
1687,547,532
1688,1420,3161
1689,1222,2925
1690,7,723
1691,150,2441
1692,1122,3852
1693,1387,5126
1694,1488,3065
1695,853,4406
1696,443,4598
1697,443,376
1698,915,338
1699,468,676
1700,1398,2737
1701,1485,915
1702,1288,972
1703,1076,1261
1704,454,2127
1705,339,928
1706,838,1813
1707,1044,2852
1708,1410,2769
1709,500,249
1710,1441,1105
1711,1043,2793
1712,398,2753
1713,608,4733
1714,595,920
1715,451,5150
1716,1127,589
1717,1495,1996
1718,1298,3034
1719,604,3038
1720,246,1894
1721,862,421
1722,1176,2050
1723,1215,1863
1724,40,2869
1725,1346,2736
1726,727,2082
1727,1190,1058
1728,340,842
1729,1051,273
1730,356,899
1731,1159,3611
1732,402,3166
1733,1454,3775
1734,338,1023
1735,54,2259
1736,601,1886
1737,887,115
1738,1358,1771
1739,1111,4566
1740,725,966
1741,483,3343
1742,431,1550
1743,43,474
1744,1173,3534
1745,876,3467
1746,1113,1511
1747,777,2830
1748,138,1285
1749,680,4819
1750,425,4800
1751,175,2425
1752,1365,1379
1753,196,2105
1754,878,3993
1755,1372,1342
1756,1276,3703
1757,87,41
1758,152,5138
1759,20,4867
1760,480,26
1761,817,4566
1762,471,5074
1763,104,1065
1764,1203,2567
1765,936,4771
1766,708,2909
1767,540,2971
1768,998,2963
1769,953,3316
1770,473,14
1771,678,1306
1772,196,5097
1773,270,539
1774,770,4627
1775,219,4970
1776,1195,1436
1777,990,2502
1778,1478,821
1779,901,1525
1780,1209,1043
1781,730,4733
1782,707,2794
1783,828,608
1784,941,2798
1785,414,444
1786,500,4354
1787,1447,4470
1788,1327,4166
1789,1187,1916
1790,398,3901
1791,100,3641
1792,401,3853
1793,272,532
1794,349,1875
1795,674,535
1796,540,688
1797,51,2831
1798,1453,3437
1799,926,447
1800,1359,4939
1801,353,5051
1802,510,1309
1803,11,2672
1804,150,3353
1805,1128,900
1806,370,57
1807,135,2115
1808,397,2620
1809,610,4780
1810,205,3002
1811,1271,4630
1812,891,2661
1813,757,2087
1814,1247,4599
1815,72,2831
1816,744,4618
1817,714,3637
1818,709,2214
1819,1245,1412
1820,1156,2089
1821,189,377
1822,804,2510
1823,889,4389
1824,275,943
1825,702,3329
1826,166,4665
1827,1239,649
1828,1459,2944
1829,1098,4341
1830,288,3460
1831,804,2227
1832,880,1288
1833,305,3967
1834,450,1866
1835,192,2450
1836,659,3546
1837,276,1940
1838,1069,2276
